url_antiga,hostname,destino,tipo,motivo,evidencia,status,decisao
/imovel/residencial-bosco-del-montello-pronto-para-morar-no-centro-de-criciuma-178/AP0097,stivenallan.com.br,/empreendimento/fontana/bosco-del-montello-centro-criciuma-sc,301/308 (1 salto),ID mapeado 1:1 no portfolio atual,next.config.ts (pré-existente) + GSC 28d,Confirmado,Manter (já correto)
/imovel/residencial-calalzo-di-cadore-modernidade-e-conforto-no-bairro-michel-criciuma-179/AP0098-179,stivenallan.com.br,/empreendimento/fontana/calalzo-di-cadore-michel-criciuma-sc,301/308 (1 salto),ID mapeado 1:1 no portfolio atual,next.config.ts (pré-existente),Confirmado,Manter (já correto)
/imovel/residencial-fidenza-grande-lancamento-no-centro-de-criciuma-182/AP0101-182,stivenallan.com.br,/empreendimento/fontana/fidenza-residencial-cruzeiro-do-sul-criciuma-sc,301/308 (1 salto),ID mapeado 1:1 no portfolio atual,next.config.ts (pré-existente),Confirmado,Manter (já correto)
/imovel/residencial-parco-savello-alto-padrao-no-bairro-santa-barbara-criciuma-sc-192/AP0108,stivenallan.com.br,/empreendimento/fontana/parco-savello-santa-barbara-criciuma-sc,301/308 (1 salto),ID mapeado 1:1 no portfolio atual,next.config.ts (pré-existente) + GSC 28d,Confirmado,Manter (já correto)
/imovel/residencial-parco-savello-alto-padrao-no-bairro-santa-barbara-criciuma-sc-192/AP0108-192,stivenallan.com.br,/empreendimento/fontana/parco-savello-santa-barbara-criciuma-sc,301/308 (1 salto),ID mapeado 1:1 no portfolio atual,next.config.ts (pré-existente) + GSC 28d,Confirmado,Manter (já correto)
/imovel/thiene-residencial-sofisticacao-e-conforto-no-centro-de-criciuma-195/AP0111-195,stivenallan.com.br,/empreendimento/fontana/thiene-centro-criciuma-sc,301/308 (1 salto),ID mapeado 1:1 no portfolio atual,next.config.ts (pré-existente) + GSC 28d,Confirmado,Manter (já correto)
/agendar-visita/thiene-residencial-sofisticacao-e-conforto-no-centro-de-criciuma-195,stivenallan.com.br,/empreendimento/fontana/thiene-centro-criciuma-sc,301/308 (1 salto),ID mapeado 1:1 no portfolio atual,next.config.ts (pré-existente) + GSC 28d,Confirmado,Manter (já correto)
/imovel/residencial-sordello-lancamento-ao-lado-do-combo-atacadista-em-criciuma-194/AP0110-194,stivenallan.com.br,(nenhum — 410),410 Gone,Unidade descontinuada confirmada (comentário de código + dado de negócio); sem equivalente real no portfólio atual,GSC 28d (2 impr) + comentário next.config.ts pré-existente,Confirmado,Implementado nesta sessão (middleware.ts) — antes caía no wildcard 301 para /empreendimentos
/imovel/residencial-volpago-del-montello-conforto-e-praticidade-em-criciuma-200/AP0115-200,stivenallan.com.br,(nenhum — 410),410 Gone,Unidade descontinuada confirmada,GSC 28d (1 impr) + comentário next.config.ts,Confirmado,Implementado nesta sessão (middleware.ts)
/imovel/belfiore-residencial-conforto-e-sofisticacao-no-bairro-michel-criciuma-176/AP0095-176,stivenallan.com.br,(nenhum — 410),410 Gone,Unidade descontinuada confirmada,GSC 28d (2 impr) + comentário next.config.ts,Confirmado,Implementado nesta sessão (middleware.ts)
/imovel/hexa-prime-residence-conforto-e-modernidade-em-um-so-lugar-173/AP0094-173,stivenallan.com.br,(nenhum — 410),410 Gone,Unidade descontinuada confirmada,GSC 28d (4 impr) + comentário next.config.ts,Confirmado,Implementado nesta sessão (middleware.ts)
/imovel/longarone-residencial-alto-padrao-da-construtora-fontana-em-criciuma-185/AP0103-185,stivenallan.com.br,(nenhum — 410),410 Gone,Unidade descontinuada confirmada,GSC 28d (2 impr) + comentário next.config.ts,Confirmado,Implementado nesta sessão (middleware.ts)
/imovel/casa-alto-padrao-no-bairro-santa-barbara-criciuma-sc-3-suites-piscina-e-localizacao-privilegiada-174/CA0012-174,stivenallan.com.br,(nenhum — 410),410 Gone,Casa avulsa descontinuada (categoria citada no comentário de código: "terrenos/casas avulsas"); sem equivalente,GSC 28d (1 impr) + comentário next.config.ts,Confirmado,Implementado nesta sessão (middleware.ts)
/imovel/apartamento-a-venda-em-criciuma-centro-com-3-quartos-169-38m,stivenallan.com.br,(nenhum — 410),410 Gone,Apto avulso sem ID de portfólio atual; sem equivalente,GSC 28d (3 impr),Confirmado,Implementado nesta sessão (middleware.ts)
/imovel/loteamento-murialdo-terrenos-de-163m-a-partir-de-rs-163-000-em-orleans-sc-com-vista-deslumbrante-da-serra-catarinense-169/TE0014-169,stivenallan.com.br,(nenhum — 410),410 Gone,Terreno avulso descontinuado; sem equivalente,GSC 28d (1 impr) + comentário next.config.ts,Confirmado,Implementado nesta sessão (middleware.ts)
/imovel/terrenos-em-condominio-fechado-de-alto-padrao-no-bairro-sao-simao-criciuma-sc-161/TE0006-161,stivenallan.com.br,(nenhum — 410),410 Gone,Terreno avulso descontinuado; sem equivalente,GSC 28d (5 impr) + comentário next.config.ts,Confirmado,Implementado nesta sessão (middleware.ts)
/imovel/:path* (wildcard genérico, qualquer path não listado acima),stivenallan.com.br,(nenhum — removido),Era 301 em massa para /empreendimentos,Violava regra de não redirecionar em massa sem equivalência real para paths não vetados individualmente,Leitura de código (next.config.ts pré-existente),Confirmado,Removido nesta sessão — paths não mapeados e não confirmados como descontinuados agora recebem 404 padrão
/agendar-visita/:path* (wildcard genérico),stivenallan.com.br,(nenhum — removido),Era 301 em massa para /empreendimentos,Mesma razão do item acima,Leitura de código (next.config.ts pré-existente),Confirmado,Removido nesta sessão
/imoveis e /imoveis/:path*,stivenallan.com.br,/empreendimentos,301/308 (1 salto na maior parte dos casos),Equivalência real de tipo de página (listagem antiga → catálogo atual),next.config.ts (pré-existente) + GSC 28d,Confirmado,Mantido sem alteração
/imoveis/?cidade=Urubici,stivenallan.com.br,/empreendimentos?cidade=Urubici,308+308 (2 saltos — normalização de trailing slash do Next.js + redirect do app),Parâmetro de querystring preservado mas não lido pela página de destino,Teste HTTP ao vivo 2026-07-21,Confirmado,Não tratado nesta sessão (baixo volume: 1 impressão; risco maior que benefício dado o tempo disponível) — registrado como pendência
"Qualquer URL legada acessada via www.stivenallan.com.br (ex.: /imovel/.../AP0097)",www.stivenallan.com.br,mesmo destino final do path em stivenallan.com.br,301 (www→apex) + 308 (path→destino) = 2 saltos,O redirect www→apex é de domínio/plataforma Vercel — fora do código deste repositório,Teste HTTP ao vivo 2026-07-21 (curl -I duas etapas),Confirmado,"Fora da autorização desta sessão (proibido acesso a Vercel/DNS) — pendência do proprietário: revisar config de domínio na Vercel para colapsar em 1 salto"
"Unidade ""Gabiano"" citada no comentário de código como descontinuada",desconhecido,—,—,Comentário de código cita o nome mas nenhuma URL exata apareceu nos dados de GSC dos últimos 28 dias,Não verificável neste ambiente,Não verificável neste ambiente,Pendência — não implementado (sem URL exata confirmada, não podemos publicar 410 ou redirect por inferência)
